driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,points_per_race_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,reliability_contrib,constructor_position_contrib,rain_x_quali_contrib,temperature_vs_baseline_contrib,humidity_contrib,wet_track_flag_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,overtaking_difficulty_contrib,wind_speed_vs_baseline_contrib,form_x_quali_contrib,pace_consistency_contrib,track_type_contrib,temperature_contrib,wind_speed_contrib,humidity_vs_baseline_contrib,rain_probability_vs_baseline_contrib,rain_probability_contrib,teammate_gap_contrib,top_features
RUS,0.4691141923812729,1,2026,Australian Grand Prix,1.0,1.4848280053669527,3,1.0824085593431203,0.1419090308802012,,,,0,0.5,1.0,1,0.0526315789473684,0.8,0.0569688715443747,0.153603549672817,0.0,0.1162691296857401,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-2.5083,-3.4891,0.0,-0.0456,-1.1095,0.0,0.4479,0.0,0.0194,2.5274,-21.6124,-0.2143,-0.2151,0.0248,-0.0851,0.5819,-0.0,-0.0101,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0001,"humidity_contrib (-21.61), quali_stage_contrib (-3.49), temperature_vs_baseline_contrib (2.53)"
ANT,0.3862517894846362,2,2026,Australian Grand Prix,2.0,1.2522897459954725,3,1.1402127394874346,0.1889240752852135,,,,0,0.5,1.0,1,0.1052631578947368,0.8,0.1200223936302562,0.2154136374360837,0.0,-0.1162691296857403,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-5.0167,-3.4891,0.0,-0.0961,-0.9357,0.0,0.4479,0.0,0.0387,2.5274,-21.6124,-0.2143,-0.2266,0.033,-0.0851,0.5819,-0.0,-0.0141,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0001,"humidity_contrib (-21.61), qualifying_position_contrib (-5.02), quali_stage_contrib (-3.49)"
HAD,0.2738812298812589,3,2026,Australian Grand Prix,3.0,0.8618159452761429,3,1.2320007139998057,0.2572183444038476,,,,0,0.5,1.0,1,0.1578947368421052,0.8,0.194526428526285,0.3168931839593881,0.0,0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-7.525,-3.4891,0.0,-0.1558,-0.644,0.0,0.4479,0.0,0.0581,2.5274,-21.6124,-0.2143,-0.2448,0.0449,-0.0851,0.5819,-0.0,-0.0208,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0002,"humidity_contrib (-21.61), qualifying_position_contrib (-7.53), quali_stage_contrib (-3.49)"
VER,0.2708640839412345,4,2026,Australian Grand Prix,10.0,0.0,1,1.2435531226673302,0.2199298230657789,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6545016435091211,0.2734944182411228,0.0,-0.4309079726380714,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.524,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2471,0.0384,-0.0851,0.5819,-0.0,-0.018,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0002,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
SAI,0.2511188901622069,5,2026,Australian Grand Prix,10.0,0.0,1,1.2462967570705816,0.2141923513954861,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6559456616160956,0.2669472329335168,0.0,0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.5252,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2476,0.0374,-0.0851,0.5819,-0.0,-0.0175,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0001,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
LEC,0.1936638744979271,6,2026,Australian Grand Prix,4.0,0.8427684428020281,3,1.2680321106323909,0.2151879580190858,,,,0,0.5,1.0,1,0.2105263157894736,0.8,0.2669541285541875,0.2728652405896157,0.0,0.0599202681998154,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,1,-10.0333,-3.4891,0.0,-0.2137,-0.6297,0.0,0.4479,0.0,0.0775,2.5274,-21.6124,-0.2143,-0.252,0.0376,-0.0851,0.5819,-0.0,-0.0179,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-10.03), quali_stage_contrib (-3.49)"
STR,0.1797687694950408,7,2026,Australian Grand Prix,10.0,0.0,1,1.4080652614367468,0.3328558561084412,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.7410869797035509,0.4686827680520845,0.0,0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-1.163,0.0,-0.5934,-0.0,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2798,0.0582,-0.0851,0.5819,-0.0,-0.0308,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0003,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
PIA,0.1561218783507397,8,2026,Australian Grand Prix,5.0,0.8007052081716952,3,1.226876503276105,0.2346827728594654,,,,0,0.5,1.0,1,0.2631578947368421,0.8,0.3228622377042381,0.2879267797449613,0.0,0.0376981819800168,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-12.5416,-3.4891,0.0,-0.2585,-0.5983,0.0,0.4479,0.0,0.0968,2.5274,-21.6124,-0.2143,-0.2438,0.041,-0.0851,0.5819,-0.0,-0.0189,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-12.54), quali_stage_contrib (-3.49)"
NOR,0.1308136563584861,9,2026,Australian Grand Prix,6.0,0.7253088442116614,3,1.146542672306544,0.1535915219425757,,,,0,0.5,1.0,1,0.3157894736842105,0.8,0.3620661070441717,0.1760992340116699,0.0,-0.0376981819800169,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-15.05,-3.4891,0.0,-0.2899,-0.542,0.0,0.4479,0.0,0.1162,2.5274,-21.6124,-0.2143,-0.2278,0.0268,-0.0851,0.5819,-0.0,-0.0116,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-15.05), quali_stage_contrib (-3.49)"
BOR,0.0988886462316827,10,2026,Australian Grand Prix,10.0,0.1332489756412769,2,1.2053975758006612,0.2131460070206315,,,,0,0.5,1.0,1,0.5263157894736842,0.8,0.6344197767371901,0.25692568015426,0.0,0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-25.0833,-2.3261,0.0,-0.508,-0.0996,0.0,0.4479,0.0,0.1936,2.5274,-21.6124,-0.2143,-0.2395,0.0372,-0.0851,0.5819,-0.0,-0.0169,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"qualifying_position_contrib (-25.08), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
HAM,0.0848316320497324,11,2026,Australian Grand Prix,7.0,0.7229279064023971,3,1.1983086916095913,0.2243362987572448,,,,0,0.5,1.0,1,0.3684210526315789,0.8,0.4414821495403757,0.2688241366443324,0.0,-0.0599202681998155,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-17.5583,-3.4891,0.0,-0.3535,-0.5402,0.0,0.4479,0.0,0.1355,2.5274,-21.6124,-0.2143,-0.2381,0.0392,-0.0851,0.5819,-0.0,-0.0177,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0,"humidity_contrib (-21.61), qualifying_position_contrib (-17.56), quali_stage_contrib (-3.49)"
HUL,0.0753106238965025,12,2026,Australian Grand Prix,11.0,0.0681700088547257,2,1.1786657607135338,0.1904209396025122,,,,0,0.5,1.0,1,0.5789473684210527,0.8,0.6823854404130986,0.2244426416323809,0.0,-0.0325394833932755,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-27.5916,-2.3261,0.0,-0.5464,-0.0509,0.0,0.4479,0.0,0.213,2.5274,-21.6124,-0.2143,-0.2342,0.0333,-0.0851,0.5819,-0.0,-0.0147,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0,"qualifying_position_contrib (-27.59), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
LIN,0.0749394131025722,13,2026,Australian Grand Prix,9.0,-0.6810317551270941,3,1.199462078934585,0.212613283098106,,,,0,0.5,1.0,1,0.4736842105263157,0.8,0.5681662479163821,0.2550215705539617,0.0,-0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-22.575,-3.4891,0.0,-0.4549,0.5089,0.0,0.4479,0.0,0.1743,2.5274,-21.6124,-0.2143,-0.2383,0.0371,-0.0851,0.5819,-0.0,-0.0167,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0003,"qualifying_position_contrib (-22.57), humidity_contrib (-21.61), quali_stage_contrib (-3.49)"
LAW,0.0613307367746961,14,2026,Australian Grand Prix,8.0,0.3134066032089416,3,1.1931668325454097,0.2087496320349598,,,,0,0.5,1.0,1,0.4210526315789473,0.8,0.5023860347559619,0.2490731372501727,0.0,0.4972191791680179,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-20.0666,-3.4891,0.0,-0.4023,-0.2342,0.0,0.4479,0.0,0.1549,2.5274,-21.6124,-0.2143,-0.2371,0.0365,-0.0851,0.5819,-0.0,-0.0164,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0003,"humidity_contrib (-21.61), qualifying_position_contrib (-20.07), quali_stage_contrib (-3.49)"
BEA,0.0463898341897088,15,2026,Australian Grand Prix,12.0,0.0618208413633466,2,1.227611237924208,0.2487576024255398,,,,0,0.5,1.0,1,0.631578947368421,0.8,0.7753334134258155,0.3053776282566748,0.0,0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-30.0999,-2.3261,0.0,-0.6208,-0.0462,0.0,0.4479,0.0,0.2324,2.5274,-21.6124,-0.2143,-0.2439,0.0435,-0.0851,0.5819,-0.0,-0.0201,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0,"qualifying_position_contrib (-30.10), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
ALO,0.0439322039928053,16,2026,Australian Grand Prix,17.0,-1.2540441212233526,1,1.2231587459567057,0.1761274286217169,,,,0,0.5,1.0,1,0.8947368421052632,0.8,1.0944051937507366,0.2154318047215185,0.0,-0.6270220606116763,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-42.6416,-1.163,0.0,-0.8763,0.937,0.0,0.4479,0.0,0.3292,2.5274,-21.6124,-0.2143,-0.243,0.0308,-0.0851,0.5819,-0.0,-0.0141,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0003,"qualifying_position_contrib (-42.64), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
PER,0.0328162082794357,17,2026,Australian Grand Prix,18.0,-1.7588029367873816,1,1.225116459389786,0.0,,,,0,0.5,1.0,1,0.9473684210526316,0.8,1.160636645737692,0.0,0.0,0.2535698766866407,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-45.1499,-1.163,0.0,-0.9293,1.3142,0.0,0.4479,0.0,0.3485,2.5274,-21.6124,-0.2143,-0.2434,0.0,-0.0851,0.5819,-0.0,-0.0,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0001,"qualifying_position_contrib (-45.15), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
OCO,0.0292195845613128,18,2026,Australian Grand Prix,13.0,-0.0810354271925025,2,1.2906203346603633,0.2867520623316199,,,,0,0.5,1.0,1,0.6842105263157895,0.8,0.8830560184518276,0.3700880426509846,0.0,-0.0714281342779246,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-32.6083,-2.3261,0.0,-0.707,0.0606,0.0,0.4479,0.0,0.2517,2.5274,-21.6124,-0.2143,-0.2565,0.0501,-0.0851,0.5819,-0.0,-0.0243,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0,"qualifying_position_contrib (-32.61), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
BOT,0.0284097858024519,19,2026,Australian Grand Prix,19.0,-2.265942690160664,1,1.2627564070664343,0.2465581605125348,,,,0,0.5,1.0,1,1.0,0.8,1.2627564070664343,0.3113428969017177,0.0,-0.2535698766866412,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-47.6582,-1.163,0.0,-1.0111,1.6931,0.0,0.4479,0.0,0.3679,2.5274,-21.6124,-0.2143,-0.2509,0.0431,-0.0851,0.5819,-0.0,-0.0204,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0001,"qualifying_position_contrib (-47.66), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
GAS,0.0218340149528953,20,2026,Australian Grand Prix,14.0,-0.0889718865567208,2,1.2316081944098864,0.2336401570044891,,,,0,0.5,1.0,1,0.7368421052631579,0.8,0.9075007748283374,0.2877531319099412,0.0,0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-35.1166,-2.3261,0.0,-0.7266,0.0665,0.0,0.4479,0.0,0.2711,2.5274,-21.6124,-0.2143,-0.2447,0.0408,-0.0851,0.5819,-0.0,-0.0189,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,0.0002,"qualifying_position_contrib (-35.12), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
ALB,0.0171964127848697,21,2026,Australian Grand Prix,15.0,-0.4381760985821425,2,1.2510320542639852,0.2092850751553094,,,,0,0.5,1.0,1,0.7894736842105263,0.8,0.9876568849452516,0.2618223374983393,0.0,-0.2190880492910712,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-37.6249,-2.3261,0.0,-0.7908,0.3274,0.0,0.4479,0.0,0.2905,2.5274,-21.6124,-0.2143,-0.2486,0.0366,-0.0851,0.5819,-0.0,-0.0172,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0001,"qualifying_position_contrib (-37.62), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
COL,0.0128006288977007,22,2026,Australian Grand Prix,16.0,-0.6992856116647836,2,1.271669293080092,0.2869336338004283,,,,0,0.5,1.0,1,0.8421052631578947,0.8,1.0708794046990249,0.3648846912558926,0.0,-0.3051568625540314,12.8,88.0,24.1,-9.2,28.0,6.100000000000001,0.75,0,-40.1333,-2.3261,0.0,-0.8574,0.5225,0.0,0.4479,0.0,0.3098,2.5274,-21.6124,-0.2143,-0.2527,0.0501,-0.0851,0.5819,-0.0,-0.024,0.0,0.7752,0.8424,-0.4598,0.0094,0.0016,-0.0002,"qualifying_position_contrib (-40.13), humidity_contrib (-21.61), temperature_vs_baseline_contrib (2.53)"
