driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_x_pace_contrib,quali_stage_contrib,gap_to_pole_norm_contrib,points_per_race_contrib,reliability_contrib,avg_finish_last5_contrib,constructor_position_contrib,overtaking_difficulty_contrib,fp_consistency_contrib,pace_consistency_contrib,form_x_quali_contrib,temperature_vs_baseline_contrib,wet_track_flag_contrib,wind_speed_vs_baseline_contrib,humidity_contrib,humidity_vs_baseline_contrib,fp_long_run_pace_contrib,rain_x_quali_contrib,wind_speed_contrib,teammate_gap_contrib,track_type_contrib,rain_probability_contrib,rain_probability_vs_baseline_contrib,temperature_contrib,top_features
ANT,0.9224717241257472,1,2026,Japanese Grand Prix,1.0,1.4673203843809974,3,1.1212321308406208,0.1975777852311034,0.9090909090909092,1,43.0,0,0.5,0.05,0,0.0022727272727272,1.0,0.0509650968563918,0.2215305611414406,0.0413223140495867,0.1268895747375278,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,-2.0574,-0.0811,-3.7341,-1.1014,28.4447,0.6052,0.5276,0.4949,-0.1117,0.0404,-0.0365,0.0066,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0816,-0.0001,0.7712,-0.0037,0.0,0.0012,0.0039,-0.2061,"points_per_race_contrib (28.44), humidity_contrib (-9.14), quali_stage_contrib (-3.73)"
RUS,0.9087395240982168,2,2026,Japanese Grand Prix,2.0,1.213541234905942,3,1.0526688104667454,0.0132212289916919,0.9545454545454546,1,43.0,0,0.5,0.05,0,0.0045454545454545,1.0,0.0956971645878859,0.0139175753955928,0.0867768595041322,-0.1268895747375276,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-4.1148,-0.1523,-3.7341,-0.9109,28.4447,0.6052,0.554,0.4949,-0.1117,0.0027,-0.0023,0.0139,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0767,-0.0003,0.7712,0.0037,0.0,0.0012,0.0039,-0.2061,"points_per_race_contrib (28.44), humidity_contrib (-9.14), qualifying_position_contrib (-4.11)"
LEC,0.5660007871268032,3,2026,Japanese Grand Prix,4.0,0.9333622410223896,3,1.1728840020823386,0.2046498762883784,0.8636363636363636,2,27.0,0,0.5,0.05,0,0.009090909090909,1.0,0.2132516367422433,0.2400305659267687,0.1570247933884297,0.0689802386157024,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,-8.2296,-0.3394,-3.7341,-0.7006,17.8606,0.6052,0.5012,0.9898,-0.1117,0.0418,-0.0395,0.0252,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0854,-0.0006,0.7712,-0.002,0.0,0.0012,0.0039,-0.2061,"points_per_race_contrib (17.86), humidity_contrib (-9.14), qualifying_position_contrib (-8.23)"
HAM,0.346057842196182,4,2026,Japanese Grand Prix,6.0,0.7954017637909847,3,1.177010735406305,0.1941263676244065,0.8181818181818182,2,27.0,0,0.5,0.05,0,0.0136363636363636,1.0,0.3210029278380831,0.2284888187193575,0.2231404958677686,-0.0689802386157023,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-12.3444,-0.5109,-3.7341,-0.597,17.8606,0.6052,0.4748,0.9898,-0.1117,0.0397,-0.0376,0.0359,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0857,-0.0009,0.7712,0.002,0.0,0.0012,0.0039,-0.2061,"points_per_race_contrib (17.86), qualifying_position_contrib (-12.34), humidity_contrib (-9.14)"
PIA,0.0621243779831925,5,2026,Japanese Grand Prix,3.0,1.1658511933938391,3,1.116118949648277,0.1441104197118297,0.5909090909090909,4,5.0,0,0.5,0.05,0,0.0068181818181818,0.0,0.1521980385884014,0.1608443702821397,0.0805785123966942,0.1179476919540158,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,1,-6.1722,-0.2422,-3.7341,-0.8751,3.3075,0.0,0.3429,1.9796,-0.1117,0.0294,-0.0265,0.013,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0813,-0.0004,0.7712,-0.0035,0.0,0.0012,0.0039,-0.2061,"humidity_contrib (-9.14), qualifying_position_contrib (-6.17), quali_stage_contrib (-3.73)"
NOR,0.0592560660215087,6,2026,Japanese Grand Prix,5.0,0.9299558094858072,3,1.211462995630499,0.1864885224797313,0.7727272727272727,4,5.0,0,0.5,0.05,0,0.0113636363636363,0.4,0.2753324990069316,0.225923944094001,0.1756198347107438,-0.117947691954016,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-10.287,-0.4382,-3.7341,-0.698,3.3075,0.2421,0.4485,1.9796,-0.1117,0.0381,-0.0372,0.0282,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0882,-0.0007,0.7712,0.0035,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-10.29), humidity_contrib (-9.14), quali_stage_contrib (-3.73)"
GAS,0.0514605463156551,7,2026,Japanese Grand Prix,7.0,0.6898023861570566,3,1.1751775162072022,0.1873766005541275,0.5454545454545454,5,4.5,0,0.5,0.05,0,0.0159090909090909,1.0,0.3739201187932007,0.2202007680345487,0.1735537190082644,0.3985524897796307,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-14.4017,-0.5951,-3.7341,-0.5178,2.9768,0.6052,0.3166,2.4745,-0.1117,0.0383,-0.0362,0.0279,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0856,-0.001,0.7712,-0.0117,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-14.40), humidity_contrib (-9.14), quali_stage_contrib (-3.73)"
HAD,0.0268795260474023,8,2026,Japanese Grand Prix,8.0,0.4453909234075872,3,1.1532463127006365,0.1799443877709202,0.5909090909090909,8,2.0,0,0.5,0.05,0,0.0181818181818181,0.6,0.4193622955275042,0.2075202016879873,0.2148760330578512,0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-16.4591,-0.6674,-3.7341,-0.3343,1.323,0.3631,0.3429,3.9591,-0.1117,0.0368,-0.0342,0.0345,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.084,-0.0012,0.7712,-0.0036,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-16.46), humidity_contrib (-9.14), constructor_position_contrib (3.96)"
LIN,0.0255033885954154,9,2026,Japanese Grand Prix,10.0,0.1549926349143,3,1.1610470474896355,0.0,0.6363636363636364,7,3.0,0,0.5,0.05,0,0.0227272727272727,1.0,0.5277486579498344,0.0,0.2892561983471074,0.0749414938047182,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-20.5739,-0.8399,-3.7341,-0.1163,1.9845,0.6052,0.3693,3.4642,-0.1117,0.0,-0.0,0.0465,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0845,-0.0015,0.7712,-0.0022,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-20.57), humidity_contrib (-9.14), quali_stage_contrib (-3.73)"
VER,0.0245784589856887,10,2026,Japanese Grand Prix,11.0,0.2035342843105393,2,1.111009222385244,0.1339510113533164,0.7272727272727273,8,2.0,0,0.5,0.05,0,0.025,0.4,0.5555046111926221,0.148820808961365,0.3636363636363636,-0.1209283195485239,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-22.6313,-0.8841,-2.4894,-0.1528,1.323,0.2421,0.4221,3.9591,-0.1117,0.0274,-0.0245,0.0584,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0809,-0.0016,0.7712,0.0036,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-22.63), humidity_contrib (-9.14), constructor_position_contrib (3.96)"
OCO,0.0212875843242706,11,2026,Japanese Grand Prix,12.0,0.1635087137557496,2,1.1455680702489823,0.1685858562204607,0.5,3,8.0,0,0.5,0.05,0,0.0272727272727272,1.0,0.6248553110448994,0.1931265739817456,0.2727272727272727,0.3325528787584362,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-24.6887,-0.9945,-2.4894,-0.1227,5.292,0.6052,0.2902,1.4847,-0.1117,0.0344,-0.0318,0.0438,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0834,-0.0017,0.7712,-0.0098,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-24.69), humidity_contrib (-9.14), points_per_race_contrib (5.29)"
HUL,0.0122688009378475,12,2026,Japanese Grand Prix,13.0,0.0970832987924747,2,1.145408235183081,0.1657162378604429,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0295454545454545,0.6,0.6768321389718206,0.1898127435489096,0.3491735537190083,-0.0481158454541649,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-26.7461,-1.0772,-2.4894,-0.0729,0.6615,0.3631,0.3429,4.9489,-0.1117,0.0339,-0.0312,0.0561,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0834,-0.0019,0.7712,0.0014,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-26.75), humidity_contrib (-9.14), constructor_position_contrib (4.95)"
BEA,0.0108093349499276,13,2026,Japanese Grand Prix,18.0,-0.5015970437611229,1,1.140470998638215,0.1725399710999851,0.6818181818181818,3,8.0,0,0.5,0.05,0,0.0409090909090909,1.0,0.9331126352494488,0.1967768331454088,0.5578512396694215,-0.3325528787584362,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-37.0331,-1.4851,-1.2447,0.3765,5.292,0.6052,0.3957,1.4847,-0.1117,0.0353,-0.0324,0.0897,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.083,-0.0026,0.7712,0.0098,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-37.03), humidity_contrib (-9.14), points_per_race_contrib (5.29)"
BOR,0.010241372169918,14,2026,Japanese Grand Prix,9.0,0.1933149897008047,3,1.34339227864253,0.2610602146045808,0.5909090909090909,10,1.0,0,0.5,0.05,0,0.0204545454545454,0.4,0.5495695685355805,0.3507062765605556,0.2417355371900826,0.048115845454165,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-18.5165,-0.8747,-3.7341,-0.1451,0.6615,0.2421,0.3429,4.9489,-0.1117,0.0533,-0.0577,0.0389,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0978,-0.0013,0.7712,-0.0014,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-18.52), humidity_contrib (-9.14), constructor_position_contrib (4.95)"
PER,0.0101670146398002,15,2026,Japanese Grand Prix,19.0,-1.451991442466403,1,1.142869750355768,0.1473150464362101,0.2727272727272727,15,0.0,0,0.5,0.05,0,0.0431818181818181,1.0,0.987023875307254,0.1683619103441998,0.2355371900826446,0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-39.0904,-1.5709,-1.2447,1.0899,0.0,0.6052,0.1583,7.4234,-0.1117,0.0301,-0.0277,0.0379,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0832,-0.0028,0.7712,-0.0016,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-39.09), humidity_contrib (-9.14), constructor_position_contrib (7.42)"
LAW,0.01,16,2026,Japanese Grand Prix,14.0,0.0051096473048635,2,1.1838910706865675,0.1688140691379397,0.4090909090909091,7,3.0,0,0.5,0.05,0,0.0318181818181818,1.0,0.753385226800543,0.1998574690586717,0.2603305785123967,-0.0749414938047182,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-28.8035,-1.199,-2.4894,-0.0038,1.9845,0.6052,0.2374,3.4642,-0.1117,0.0345,-0.0329,0.0418,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0862,-0.002,0.7712,0.0022,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-28.80), humidity_contrib (-9.14), constructor_position_contrib (3.46)"
SAI,0.01,17,2026,Japanese Grand Prix,16.0,-0.4530553943648836,2,1.0934644016531296,0.0317621874418994,0.3181818181818182,11,1.0,0,0.5,0.05,0,0.0363636363636363,1.0,0.7952468375659125,0.0347308212863511,0.2314049586776859,0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-32.9183,-1.2657,-2.4894,0.3401,0.6615,0.6052,0.1847,5.4438,-0.1117,0.0065,-0.0057,0.0372,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0796,-0.0023,0.7712,-0.0007,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-32.92), humidity_contrib (-9.14), constructor_position_contrib (5.44)"
BOT,0.01,18,2026,Japanese Grand Prix,20.0,-1.557590820100319,1,1.1756636790489168,0.1841355120599734,0.5909090909090909,15,0.0,0,0.5,0.05,0,0.0454545454545454,0.6,1.0687851627717424,0.2164814335519845,0.5371900826446281,-0.0527996888169579,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-41.1478,-1.701,-1.2447,1.1691,0.0,0.3631,0.3429,7.4234,-0.1117,0.0376,-0.0356,0.0863,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0856,-0.0029,0.7712,0.0016,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-41.15), humidity_contrib (-9.14), constructor_position_contrib (7.42)"
COL,0.01,19,2026,Japanese Grand Prix,15.0,-0.1073025934022048,2,1.1562357125959593,0.1773744962046915,0.3636363636363636,5,4.5,0,0.5,0.05,0,0.034090909090909,1.0,0.7883425313154268,0.2050867270155807,0.2479338842975206,-0.3985524897796307,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-30.8609,-1.2547,-2.4894,0.0805,2.9768,0.6052,0.211,2.4745,-0.1117,0.0362,-0.0338,0.0398,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0842,-0.0022,0.7712,0.0117,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-30.86), humidity_contrib (-9.14), points_per_race_contrib (2.98)"
ALB,0.01,20,2026,Japanese Grand Prix,17.0,-0.4998938279928257,1,1.1359940233452352,0.1483449244234948,0.4545454545454545,11,1.0,0,0.5,0.05,0,0.0386363636363636,0.4,0.8778135634940454,0.1685189475386908,0.3512396694214876,-0.023419216813971,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-34.9757,-1.3971,-1.2447,0.3752,0.6615,0.2421,0.2638,5.4438,-0.1117,0.0303,-0.0277,0.0565,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0827,-0.0025,0.7712,0.0007,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-34.98), humidity_contrib (-9.14), constructor_position_contrib (5.44)"
ALO,0.01,21,2026,Japanese Grand Prix,21.0,-1.8266989114899883,1,1.1923110017760814,0.1715945740173723,0.5909090909090909,14,0.0,0,0.5,0.05,0,0.0477272727272727,0.0,1.138115047149896,0.2045940984459931,0.5640495867768596,0.116670280127799,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-43.2052,-1.8113,-1.2447,1.3711,0.0,0.0,0.3429,6.9285,-0.1117,0.0351,-0.0337,0.0907,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.0868,-0.0031,0.7712,-0.0034,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-43.21), humidity_contrib (-9.14), constructor_position_contrib (6.93)"
STR,0.01,22,2026,Japanese Grand Prix,22.0,-2.0600394717455868,1,1.235908099740023,0.2104468755736609,0.2272727272727272,14,0.0,0,0.5,0.05,0,0.05,0.4,1.235908099740023,0.2600929980864683,0.2272727272727272,-0.1166702801277992,22.3,76.2,15.8,4.300000000000001,11.200000000000005,-0.1999999999999993,-0.3,0,-45.2626,-1.967,-1.2447,1.5462,0.0,0.2421,0.1319,6.9285,-0.1117,0.043,-0.0428,0.0365,-0.6892,-0.0,-0.0313,-9.142,0.9114,-0.09,-0.0032,0.7712,0.0034,0.0,0.0012,0.0039,-0.2061,"qualifying_position_contrib (-45.26), humidity_contrib (-9.14), constructor_position_contrib (6.93)"
