driver,pred_top3_prob,rank,season,race,qualifying_position,gap_to_pole_norm,quali_stage,fp_long_run_pace,fp_consistency,avg_finish_last5,constructor_position,points_per_race,track_type,overtaking_difficulty,rain_probability,wet_track_flag,rain_x_quali,reliability,quali_x_pace,pace_consistency,form_x_quali,teammate_gap,temperature,humidity,wind_speed,temperature_vs_baseline,humidity_vs_baseline,wind_speed_vs_baseline,rain_probability_vs_baseline,target_top3,qualifying_position_contrib,quali_stage_contrib,quali_x_pace_contrib,gap_to_pole_norm_contrib,avg_finish_last5_contrib,points_per_race_contrib,constructor_position_contrib,reliability_contrib,fp_long_run_pace_contrib,fp_consistency_contrib,temperature_vs_baseline_contrib,overtaking_difficulty_contrib,wind_speed_vs_baseline_contrib,wet_track_flag_contrib,humidity_contrib,form_x_quali_contrib,track_type_contrib,pace_consistency_contrib,rain_probability_contrib,humidity_vs_baseline_contrib,teammate_gap_contrib,rain_probability_vs_baseline_contrib,wind_speed_contrib,rain_x_quali_contrib,temperature_contrib,top_features
ANT,0.9146870495239464,1,2026,Miami Grand Prix,1.0,1.1750369921014443,3,1.0642761168962045,0.0694669014793105,0.931818181818182,1,41.0,1,0.55,0.82,1,0.0372727272727272,1.0,0.0483761871316456,0.0739319641592118,0.0423553719008264,0.1308013938909722,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-2.7254,-3.7104,-0.0392,-0.838,0.5726,22.7667,0.3457,0.2723,-0.2363,0.0149,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0036,0.069,-0.0041,0.0374,0.6848,-0.0034,0.0119,-0.1964,0.0002,0.1033,"points_per_race_contrib (22.77), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
RUS,0.6280983110851068,2,2026,Miami Grand Prix,5.0,0.9134342043194996,3,1.1227594564866592,0.1606938570885662,0.931818181818182,1,41.0,1,0.55,0.82,1,0.1863636363636363,1.0,0.255172603746968,0.1804205476455035,0.2117768595041322,-0.1308013938909723,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-13.6268,-3.7104,-0.2067,-0.6515,0.5726,22.7667,0.3457,0.2723,-0.2493,0.0344,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0182,0.069,-0.0101,0.0374,0.6848,0.0034,0.0119,-0.1964,0.0012,0.1033,"points_per_race_contrib (22.77), qualifying_position_contrib (-13.63), humidity_contrib (-11.75)"
LEC,0.5292492081258692,3,2026,Miami Grand Prix,3.0,0.9488390928914936,3,1.215396830243992,0.2315552093023496,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.1118181818181818,1.0,0.1657359313969079,0.2814314674125598,0.1146694214876033,0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-8.1761,-3.7104,-0.1342,-0.6767,0.5167,14.2523,0.6913,0.2723,-0.2699,0.0496,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0099,0.069,-0.0158,0.0374,0.6848,-0.0015,0.0119,-0.1964,0.0007,0.1033,"points_per_race_contrib (14.25), humidity_contrib (-11.75), qualifying_position_contrib (-8.18)"
VER,0.2992142839740073,4,2026,Miami Grand Prix,2.0,1.066199742046803,3,1.170044041354085,0.2023950542214063,0.7272727272727273,8,2.6666666666666665,1,0.55,0.82,1,0.0745454545454545,0.6842105263157894,0.1063676401230986,0.2368111271912934,0.0661157024793388,0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-5.4507,-3.7104,-0.0861,-0.7604,0.4469,1.4808,2.7652,0.1863,-0.2598,0.0433,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0057,0.069,-0.0133,0.0374,0.6848,-0.007,0.0119,-0.1964,0.0005,0.1033,"humidity_contrib (-11.75), qualifying_position_contrib (-5.45), quali_stage_contrib (-3.71)"
HAM,0.257510387049434,5,2026,Miami Grand Prix,6.0,0.8334453819901836,3,1.1312480338681212,0.1823027504695542,0.8409090909090909,2,25.666666666666668,1,0.55,0.82,1,0.2236363636363636,1.0,0.3085221910549421,0.2062296280374339,0.2293388429752066,-0.0576968554506549,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-16.3522,-3.7104,-0.2499,-0.5944,0.5167,14.2523,0.6913,0.2723,-0.2512,0.039,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0197,0.069,-0.0115,0.0374,0.6848,0.0015,0.0119,-0.1964,0.0014,0.1033,"qualifying_position_contrib (-16.35), points_per_race_contrib (14.25), humidity_contrib (-11.75)"
NOR,0.1853121857995975,6,2026,Miami Grand Prix,4.0,0.9226132495048284,3,1.178322265574533,0.1932230451346923,0.7727272727272727,3,12.666666666666666,1,0.55,0.82,1,0.149090909090909,0.6842105263157894,0.2142404119226423,0.2276790163043208,0.140495867768595,0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-10.9014,-3.7104,-0.1735,-0.658,0.4748,7.0336,1.037,0.1863,-0.2617,0.0413,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0121,0.069,-0.0127,0.0374,0.6848,-0.0027,0.0119,-0.1964,0.0009,0.1033,"humidity_contrib (-11.75), qualifying_position_contrib (-10.90), points_per_race_contrib (7.03)"
PIA,0.0279896657215421,7,2026,Miami Grand Prix,7.0,0.7147734406655439,3,1.229869140110019,0.222662119451784,0.5977272727272727,3,12.666666666666666,1,0.55,0.82,1,0.2609090909090908,0.4736842105263158,0.3913219991259151,0.27384526938524,0.1901859504132231,-0.1039199044196421,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,1,-19.0775,-3.7104,-0.3169,-0.5098,0.3673,7.0336,1.037,0.129,-0.2731,0.0476,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0164,0.069,-0.0153,0.0374,0.6848,0.0027,0.0119,-0.1964,0.0016,0.1033,"qualifying_position_contrib (-19.08), humidity_contrib (-11.75), points_per_race_contrib (7.03)"
HUL,0.0270611213193425,8,2026,Miami Grand Prix,10.0,0.0991217671636802,2,1.1979005710446755,0.2219020373630205,0.5,10,0.6666666666666666,1,0.55,0.82,1,0.3727272727272727,0.7894736842105263,0.5445002595657616,0.2658165772731392,0.2272727272727272,1.408983435948366,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-27.2536,-2.4736,-0.441,-0.0707,0.3073,0.3702,3.4565,0.215,-0.266,0.0475,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0196,0.069,-0.0149,0.0374,0.6848,-0.0363,0.0119,-0.1964,0.0024,0.1033,"qualifying_position_contrib (-27.25), humidity_contrib (-11.75), constructor_position_contrib (3.46)"
COL,0.0226042680900428,9,2026,Miami Grand Prix,8.0,0.5429941664829138,3,1.1027308127744808,0.1274605654377139,0.4545454545454545,5,5.0,1,0.55,0.82,1,0.2981818181818181,1.0,0.4009930228270839,0.1405546929218252,0.1652892561983471,0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-21.8029,-3.7104,-0.3248,-0.3873,0.2793,2.7764,1.7283,0.2723,-0.2449,0.0273,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0142,0.069,-0.0079,0.0374,0.6848,-0.0004,0.0119,-0.1964,0.0019,0.1033,"qualifying_position_contrib (-21.80), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
LAW,0.0197996281389298,10,2026,Miami Grand Prix,11.0,0.0597830020836871,2,1.205581681782555,0.1997099859567448,0.5454545454545454,6,2.6666666666666665,1,0.55,0.82,1,0.41,1.0,0.6027908408912775,0.2407667007385029,0.2727272727272727,0.207839808839289,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-29.9789,-2.4736,-0.4882,-0.0426,0.3352,1.4808,2.0739,0.2723,-0.2677,0.0427,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0235,0.069,-0.0135,0.0374,0.6848,-0.0054,0.0119,-0.1964,0.0026,0.1033,"qualifying_position_contrib (-29.98), humidity_contrib (-11.75), quali_stage_contrib (-2.47)"
BEA,0.0165768570601868,11,2026,Miami Grand Prix,12.0,0.0151990683263647,2,1.1267837736371,0.1777577246694072,0.7272727272727273,4,5.666666666666667,1,0.55,0.82,1,0.4472727272727272,0.5263157894736843,0.6146093310747818,0.2002945197961393,0.396694214876033,0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-32.7043,-2.4736,-0.4978,-0.0108,0.4469,3.1466,1.3826,0.1433,-0.2502,0.038,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0341,0.069,-0.0112,0.0374,0.6848,-0.0017,0.0119,-0.1964,0.0028,0.1033,"qualifying_position_contrib (-32.70), humidity_contrib (-11.75), points_per_race_contrib (3.15)"
GAS,0.0160872732886597,12,2026,Miami Grand Prix,9.0,0.5115231544189193,3,1.2058879184861715,0.193162068480188,0.6363636363636364,5,5.0,1,0.55,0.82,1,0.3354545454545454,1.0,0.493317784835252,0.2329318046900573,0.2603305785123967,-0.0157355060319972,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-24.5282,-3.7104,-0.3995,-0.3648,0.391,2.7764,1.7283,0.2723,-0.2678,0.0413,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0224,0.069,-0.013,0.0374,0.6848,0.0004,0.0119,-0.1964,0.0021,0.1033,"qualifying_position_contrib (-24.53), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
SAI,0.01,13,2026,Miami Grand Prix,13.0,0.0145434222416951,2,1.201293978472638,0.2164075422696887,0.4545454545454546,11,0.6666666666666666,1,0.55,0.82,1,0.4845454545454545,1.0,0.7098555327338316,0.2599690774246399,0.2685950413223141,0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-35.4297,-2.4736,-0.5749,-0.0104,0.2793,0.3702,3.8022,0.2723,-0.2668,0.0463,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0231,0.069,-0.0146,0.0374,0.6848,-0.0032,0.0119,-0.1964,0.0031,0.1033,"qualifying_position_contrib (-35.43), humidity_contrib (-11.75), constructor_position_contrib (3.80)"
LIN,0.01,14,2026,Miami Grand Prix,16.0,-0.3558966155948909,1,1.223903192449301,0.1771226222361104,0.5454545454545454,6,2.6666666666666665,1,0.55,0.82,1,0.5963636363636363,1.0,0.8901114126904007,0.216780942809767,0.396694214876033,-0.207839808839289,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-43.6057,-1.2368,-0.7209,0.2538,0.3352,1.4808,2.0739,0.2723,-0.2718,0.0379,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0341,0.069,-0.0121,0.0374,0.6848,0.0054,0.0119,-0.1964,0.0038,0.1033,"qualifying_position_contrib (-43.61), humidity_contrib (-11.75), constructor_position_contrib (2.07)"
ALO,0.01,15,2026,Miami Grand Prix,17.0,-0.9885950872980912,1,1.2544770591629846,0.1973199944497389,0.5977272727272727,14,0.0,1,0.55,0.82,1,0.6336363636363636,0.4736842105263158,0.9693686366259426,0.2475334063513649,0.4618801652892561,0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-46.3311,-1.2368,-0.7851,0.7051,0.3673,0.0,4.8391,0.129,-0.2786,0.0422,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0398,0.069,-0.0139,0.0374,0.6848,-0.0006,0.0119,-0.1964,0.004,0.1033,"qualifying_position_contrib (-46.33), humidity_contrib (-11.75), constructor_position_contrib (4.84)"
OCO,0.01,16,2026,Miami Grand Prix,14.0,-0.1192083790302813,2,1.2008188381455895,0.2282727026314792,0.4318181818181818,4,5.666666666666667,1,0.55,0.82,1,0.5218181818181817,1.0,0.7641574424562843,0.2741141615542866,0.274793388429752,-0.067203723678323,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-38.155,-2.4736,-0.6189,0.085,0.2654,3.1466,1.3826,0.2723,-0.2666,0.0489,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0237,0.069,-0.0153,0.0374,0.6848,0.0017,0.0119,-0.1964,0.0033,0.1033,"qualifying_position_contrib (-38.16), humidity_contrib (-11.75), points_per_race_contrib (3.15)"
BOT,0.01,17,2026,Miami Grand Prix,19.0,-1.3367431582560207,1,1.2075383495689171,0.1923882919922998,0.4090909090909091,15,0.0,1,0.55,0.82,1,0.7081818181818181,0.7894736842105263,1.0428740291731555,0.2323162405887646,0.353305785123967,0.1108041883086408,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-51.7818,-1.2368,-0.8446,0.9534,0.2514,0.0,5.1848,0.215,-0.2681,0.0412,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0304,0.069,-0.013,0.0374,0.6848,-0.0029,0.0119,-0.1964,0.0045,0.1033,"qualifying_position_contrib (-51.78), humidity_contrib (-11.75), constructor_position_contrib (5.18)"
ALB,0.01,18,2026,Miami Grand Prix,15.0,-0.2332907977622519,2,1.2505284962490204,0.227724355566094,0.4545454545454545,11,0.6666666666666666,1,0.55,0.82,1,0.559090909090909,0.6842105263157894,0.852633065624332,0.2847757959253448,0.3099173553719008,-0.1239171100019735,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-40.8804,-2.4736,-0.6905,0.1664,0.2793,0.3702,3.8022,0.1863,-0.2777,0.0487,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0267,0.069,-0.0159,0.0374,0.6848,0.0032,0.0119,-0.1964,0.0035,0.1033,"qualifying_position_contrib (-40.88), humidity_contrib (-11.75), constructor_position_contrib (3.80)"
BOR,0.01,19,2026,Miami Grand Prix,21.0,-2.718845104733052,1,1.2621319001231663,0.2110570680621486,0.5909090909090909,10,0.6666666666666666,1,0.55,0.82,1,0.7827272727272727,0.6842105263157894,1.2047622682993862,0.2663818583477041,0.5640495867768596,-1.4089834359483662,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-57.2325,-1.2368,-0.9757,1.9391,0.3631,0.3702,3.4565,0.1863,-0.2803,0.0452,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0485,0.069,-0.0149,0.0374,0.6848,0.0363,0.0119,-0.1964,0.0049,0.1033,"qualifying_position_contrib (-57.23), humidity_contrib (-11.75), constructor_position_contrib (3.46)"
PER,0.01,20,2026,Miami Grand Prix,20.0,-1.5583515348733026,1,1.2029388273056396,0.1889972242164724,0.2954545454545454,15,0.0,1,0.55,0.82,1,0.7454545454545454,1.0,1.093580752096036,0.2273520992629844,0.268595041322314,-0.110804188308641,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-54.5072,-1.2368,-0.8857,1.1114,0.1816,0.0,5.1848,0.2723,-0.2671,0.0404,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0231,0.069,-0.0127,0.0374,0.6848,0.0029,0.0119,-0.1964,0.0047,0.1033,"qualifying_position_contrib (-54.51), humidity_contrib (-11.75), constructor_position_contrib (5.18)"
STR,0.01,21,2026,Miami Grand Prix,18.0,-1.0318677288860836,1,1.3260234446999646,0.2280527110096379,0.2272727272727272,14,0.0,1,0.55,0.82,1,0.6709090909090909,0.2105263157894737,1.0849282729363348,0.3024032414261657,0.1859504132231405,-0.0216363207939962,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-49.0565,-1.2368,-0.8787,0.7359,0.1397,0.0,4.8391,0.0573,-0.2945,0.0488,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.016,0.069,-0.0169,0.0374,0.6848,0.0006,0.0119,-0.1964,0.0042,0.1033,"qualifying_position_contrib (-49.06), humidity_contrib (-11.75), constructor_position_contrib (4.84)"
HAD,0.01,22,2026,Miami Grand Prix,22.0,0.5252917221969169,3,1.1747419102004253,0.207423352112157,0.6363636363636364,8,2.6666666666666665,1,0.55,0.82,1,0.82,0.7894736842105263,1.1747419102004253,0.2436689048804107,0.6363636363636364,-0.270454009924943,25.78,88.2,14.38,-5.219999999999999,18.200000000000003,-5.619999999999999,0.47,0,-59.9579,-3.7104,-0.9514,-0.3746,0.391,1.4808,2.7652,0.215,-0.2609,0.0444,1.117,-0.1086,-0.8461,-0.1354,-11.7501,0.0548,0.069,-0.0136,0.0374,0.6848,0.007,0.0119,-0.1964,0.0052,0.1033,"qualifying_position_contrib (-59.96), humidity_contrib (-11.75), quali_stage_contrib (-3.71)"
